"tipo","versao","segmento","grau","url","arquivo","formato","catalogo_url","catalogo_md5","baixado_em_utc","md5"
"C",2026-09-12,"Justiça Federal","Federal Juizado Especial","https://www.cnj.jus.br/sgt/versoes_tabelas/planilhas/83_Tabela_Classes_Justica_Federal_Juizado_Especial.xls","83_Tabela_Classes_Justica_Federal_Juizado_Especial.xls","xls","https://www.cnj.jus.br/sgt/versoes.php?tipo_tabela=C","0e57a881ac50214c38ce6aa41a04962c","2026-09-24T17:21:38Z","3841a8d7fcce4666b51651681eb3fd0a"
"C",2026-09-12,"Justiça Federal","Federal Turmas Recursais","https://www.cnj.jus.br/sgt/versoes_tabelas/planilhas/83_Tabela_Classes_Justica_Federal_Turmas_Recursais.xls","83_Tabela_Classes_Justica_Federal_Turmas_Recursais.xls","xls","https://www.cnj.jus.br/sgt/versoes.php?tipo_tabela=C","0e57a881ac50214c38ce6aa41a04962c","2026-09-24T17:21:38Z","693c52325db09aa5f96da9c6d4033827"
"C",2026-09-12,"Justiça Federal","Federal Turma Nacional de Uniformização","https://www.cnj.jus.br/sgt/versoes_tabelas/planilhas/83_Tabela_Classes_Justica_Federal_Turma_Nacional_de_Uniformizacao.xls","83_Tabela_Classes_Justica_Federal_Turma_Nacional_de_Uniformizacao.xls","xls","https://www.cnj.jus.br/sgt/versoes.php?tipo_tabela=C","0e57a881ac50214c38ce6aa41a04962c","2026-09-24T17:21:39Z","f3f18780949c1ad8a83bb2c3f6208d0f"
"C",2026-09-12,"Justiça Federal","Federal Turma Regional de Uniformização","https://www.cnj.jus.br/sgt/versoes_tabelas/planilhas/83_Tabela_Classes_Justica_Federal_Turma_Regional_de_Uniformizacao.xls","83_Tabela_Classes_Justica_Federal_Turma_Regional_de_Uniformizacao.xls","xls","https://www.cnj.jus.br/sgt/versoes.php?tipo_tabela=C","0e57a881ac50214c38ce6aa41a04962c","2026-09-24T17:21:39Z","32f261e60edcb3078d0344bc4e15f815"
"C",2026-09-12,"Justiça Estadual","Estadual 1° Grau","https://www.cnj.jus.br/sgt/versoes_tabelas/planilhas/83_Tabela_Classes_Justica_Estadual_1_Grau.xls","83_Tabela_Classes_Justica_Estadual_1_Grau.xls","xls","https://www.cnj.jus.br/sgt/versoes.php?tipo_tabela=C","0e57a881ac50214c38ce6aa41a04962c","2026-09-24T17:21:39Z","cf12dbd87c12f885eeb4fdab0488d013"
"C",2026-09-12,"Justiça Estadual","Estadual 2° Grau","https://www.cnj.jus.br/sgt/versoes_tabelas/planilhas/83_Tabela_Classes_Justica_Estadual_2_Grau.xls","83_Tabela_Classes_Justica_Estadual_2_Grau.xls","xls","https://www.cnj.jus.br/sgt/versoes.php?tipo_tabela=C","0e57a881ac50214c38ce6aa41a04962c","2026-09-24T17:21:40Z","c17ab5b48d791738097db96a8ae92204"
"C",2026-09-12,"Justiça Estadual","Estadual Juizado Especial","https://www.cnj.jus.br/sgt/versoes_tabelas/planilhas/83_Tabela_Classes_Justica_Estadual_Juizado_Especial.xls","83_Tabela_Classes_Justica_Estadual_Juizado_Especial.xls","xls","https://www.cnj.jus.br/sgt/versoes.php?tipo_tabela=C","0e57a881ac50214c38ce6aa41a04962c","2026-09-24T17:21:41Z","3632f2cb876b2ad3a54301e81bd5263c"
"C",2026-09-12,"Justiça Estadual","Estadual Turmas Recursais de Uniformização","https://www.cnj.jus.br/sgt/versoes_tabelas/planilhas/83_Tabela_Classes_Justica_Estadual_Turmas_Recursais.xls","83_Tabela_Classes_Justica_Estadual_Turmas_Recursais.xls","xls","https://www.cnj.jus.br/sgt/versoes.php?tipo_tabela=C","0e57a881ac50214c38ce6aa41a04962c","2026-09-24T17:21:41Z","6b918c81646002c9615b6ef5a89fca6e"
"C",2026-09-12,"Justiça Estadual","Juizados Especiais Fazenda Pública","https://www.cnj.jus.br/sgt/versoes_tabelas/planilhas/83_Tabela_Classes_Juizados_Especiais_Fazenda_Publica.xls","83_Tabela_Classes_Juizados_Especiais_Fazenda_Publica.xls","xls","https://www.cnj.jus.br/sgt/versoes.php?tipo_tabela=C","0e57a881ac50214c38ce6aa41a04962c","2026-09-24T17:21:41Z","087b797c506f7e5a2420c947c194e5ea"
"C",2026-09-12,"Justiça Estadual","Turma Estadual de Uniformização","https://www.cnj.jus.br/sgt/versoes_tabelas/planilhas/83_Tabela_Classes_Turma_Estadual_Uniformizacao.xls","83_Tabela_Classes_Turma_Estadual_Uniformizacao.xls","xls","https://www.cnj.jus.br/sgt/versoes.php?tipo_tabela=C","0e57a881ac50214c38ce6aa41a04962c","2026-09-24T17:21:41Z","201cc5def7bc83ca50aa4aeaec65170d"
"C",2026-09-12,"Justiça Militar","Militar da União 1º","https://www.cnj.jus.br/sgt/versoes_tabelas/planilhas/83_Tabela_Classes_Justica_Militar_Uniao_1grau.xls","83_Tabela_Classes_Justica_Militar_Uniao_1grau.xls","xls","https://www.cnj.jus.br/sgt/versoes.php?tipo_tabela=C","0e57a881ac50214c38ce6aa41a04962c","2026-09-24T17:21:42Z","cb8cb68e5a7cae0ee717412bb92a72bb"
"C",2026-09-12,"Justiça Militar","Militar da União STM","https://www.cnj.jus.br/sgt/versoes_tabelas/planilhas/83_Tabela_Classes_Justica_Militar_Uniao_stm.xls","83_Tabela_Classes_Justica_Militar_Uniao_stm.xls","xls","https://www.cnj.jus.br/sgt/versoes.php?tipo_tabela=C","0e57a881ac50214c38ce6aa41a04962c","2026-09-24T17:21:42Z","618dcebf58e1813c57f0f14893aab4f8"
"C",2026-09-12,"Justiça Militar","Militar Estadual 1º","https://www.cnj.jus.br/sgt/versoes_tabelas/planilhas/83_Tabela_Classes_Justica_Militar_Estadual_1grau.xls","83_Tabela_Classes_Justica_Militar_Estadual_1grau.xls","xls","https://www.cnj.jus.br/sgt/versoes.php?tipo_tabela=C","0e57a881ac50214c38ce6aa41a04962c","2026-09-24T17:21:42Z","54be7c1879c6a48419168a4711a4e5a7"
"C",2026-09-12,"Justiça Militar","Militar Estadual TJM","https://www.cnj.jus.br/sgt/versoes_tabelas/planilhas/83_Tabela_Classes_Justica_Militar_Estadual_tjm.xls","83_Tabela_Classes_Justica_Militar_Estadual_tjm.xls","xls","https://www.cnj.jus.br/sgt/versoes.php?tipo_tabela=C","0e57a881ac50214c38ce6aa41a04962c","2026-09-24T17:21:43Z","0639ff1239ae2b0af82db8d03dcc8572"
"C",2026-09-12,"Justiça Eleitoral","Eleitoral Zonas Eleitorais","https://www.cnj.jus.br/sgt/versoes_tabelas/planilhas/83_Tabela_Classes_Justica_Eleitoral_ZE.xls","83_Tabela_Classes_Justica_Eleitoral_ZE.xls","xls","https://www.cnj.jus.br/sgt/versoes.php?tipo_tabela=C","0e57a881ac50214c38ce6aa41a04962c","2026-09-24T17:21:44Z","23062e7dd50ac96d2cc9d610ff1af3af"
"C",2026-09-12,"Justiça Eleitoral","Eleitoral TRE","https://www.cnj.jus.br/sgt/versoes_tabelas/planilhas/83_Tabela_Classes_Justica_Eleitoral_TRE.xls","83_Tabela_Classes_Justica_Eleitoral_TRE.xls","xls","https://www.cnj.jus.br/sgt/versoes.php?tipo_tabela=C","0e57a881ac50214c38ce6aa41a04962c","2026-09-24T17:21:45Z","bbd38fbcf5cbc888d54b1016b26fefaf"
"C",2026-09-12,"Justiça Eleitoral","Eleitoral TSE","https://www.cnj.jus.br/sgt/versoes_tabelas/planilhas/83_Tabela_Classes_Justica_Eleitoral_TSE.xls","83_Tabela_Classes_Justica_Eleitoral_TSE.xls","xls","https://www.cnj.jus.br/sgt/versoes.php?tipo_tabela=C","0e57a881ac50214c38ce6aa41a04962c","2026-09-24T17:21:45Z","7fbe053d76bf90cdf63dc5ca2e8d5d07"
"C",2026-09-12,"Superiores","STF","https://www.cnj.jus.br/sgt/versoes_tabelas/planilhas/83_Tabela_Classes_STF.xls","83_Tabela_Classes_STF.xls","xls","https://www.cnj.jus.br/sgt/versoes.php?tipo_tabela=C","0e57a881ac50214c38ce6aa41a04962c","2026-09-24T17:21:45Z","c74d68a529fde6427ee1790e04471a16"
"C",2026-09-12,"Superiores","STJ","https://www.cnj.jus.br/sgt/versoes_tabelas/planilhas/83_Tabela_Classes_STJ.xls","83_Tabela_Classes_STJ.xls","xls","https://www.cnj.jus.br/sgt/versoes.php?tipo_tabela=C","0e57a881ac50214c38ce6aa41a04962c","2026-09-24T17:21:46Z","e54cc83c19a1f0ad2d97401074079687"
"C",2026-09-12,"Superiores","CJF","https://www.cnj.jus.br/sgt/versoes_tabelas/planilhas/83_Tabela_Classes_CJF.xls","83_Tabela_Classes_CJF.xls","xls","https://www.cnj.jus.br/sgt/versoes.php?tipo_tabela=C","0e57a881ac50214c38ce6aa41a04962c","2026-09-24T17:21:46Z","ac5e5ab5a62f4812bde3b67cb100607f"
"C",2026-09-12,"Superiores","CNJ","https://www.cnj.jus.br/sgt/versoes_tabelas/planilhas/83_Tabela_Classes_CNJ.xls","83_Tabela_Classes_CNJ.xls","xls","https://www.cnj.jus.br/sgt/versoes.php?tipo_tabela=C","0e57a881ac50214c38ce6aa41a04962c","2026-09-24T17:21:46Z","522b3f1bffba5423532905fb855812d5"
"C",2026-09-12,"","","https://www.cnj.jus.br/sgt/enviarArquivo.php?url=83_dump_dados_oracle_postgres.sql&nome=dump_dados_oracle_postgres.sql","83_dump_dados_oracle_postgres.sql","sql","https://www.cnj.jus.br/sgt/versoes.php?tipo_tabela=C","0e57a881ac50214c38ce6aa41a04962c","2026-09-24T17:21:48Z","9ca11029e53efb865340cf3e22f67058"
